title,year,journal,link
Insights into Reactivity of Silicon Negative Electrodes: Analysis using Isothermal Microcalorimetry,2019,ACS Applied Materials & Interfaces,https://pubs.acs.org/doi/abs/10.1021/acsami.9b10772
Generalized Synthetic Strategy for Transition-Metal-Doped Brookite-Phase TiO2 Nanorods,2019,Journal of the American Chemical Society,https://pubs.acs.org/doi/abs/10.1021/jacs.9b06389
Tuning CO2 Hydrogenation Selectivity via Metal-Oxide Interfacial Sites,2019,Journal of Catalysis,https://www.sciencedirect.com/science/article/pii/S0021951719301988
Deliberate Modification of Fe3O4 Anode Surface Chemistry: Impact on Electrochemistry,2019,ACS Applied Materials & Interfaces,https://pubs.acs.org/doi/abs/10.1021/acsami.8b21273
Effects of Oxide Supports on the CO2 Reforming of Ethane over Pt-Ni Bimetallic Catalysts,2019,Applied Catalysis B: Environmental,https://www.sciencedirect.com/science/article/pii/S0926337318312220
Ultrathin Amorphous Titania on Nanowires: Optimization of Conformal Growth and Elucidation of Atomic-Scale Motifs,2019,Nano Letters,https://pubs.acs.org/doi/abs/10.1021/acs.nanolett.8b04888
New Aspects of Improving the Performance of WO3 Thin Films for Photoelectrochemical Water Splitting by Tuning the Ultrathin Depletion Region,2019,RSC Advances,https://pubs.rsc.org/en/content/articlelanding/2019/RA/C8RA08875F#!divAbstract
Highly Active Subnanometer Rh Clusters Derived from Rh-doped SrTiO3 for CO2 Reduction,2018,Applied Catalysis B: Environmental,https://www.sciencedirect.com/science/article/pii/S0926337318306088
Dry Reforming of Methane over CeO2-supported Pt-Co Catalysts with Enhanced Activity,2018,Applied Catalysis B: Environmental,https://www.sciencedirect.com/science/article/pii/S092633731830465X
